"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          90,      -4.755912633,      -1.775041646,      -2.739680732,      0.7056450864,      -8.422184819,     0.01035673938,      0.8911102006,                 0,                 0,                 0,      0.1262990409,    -0.02556892869,      0.8908035033,                 0,       86.04157817
          0,           0,          91,      -4.770328598,      -1.791987674,      -2.753102397,      0.6910659366,      -8.426975628,     0.01035863714,      0.8911654022,                 0,                 0,                 0,        0.12631229,    -0.02556925743,      0.8908587365,                 0,       86.03114384
          0,           0,          92,      -4.783479265,      -1.808936733,      -2.766329111,      0.6776800571,      -8.433918684,     0.01036030495,      0.8912168883,                 0,                 0,                 0,      0.1263243941,    -0.02556966619,      0.8909102481,                 0,       86.02226406
          0,           0,          93,      -4.796390474,      -1.825890995,      -2.779705393,      0.6645203094,      -8.444805407,     0.01036175703,      0.8912645144,                 0,                 0,                 0,      0.1263354034,    -0.02557013492,       0.890957894,                 0,       86.01480543
          0,           0,          94,      -4.810063887,       -1.84285948,      -2.793476638,      0.6506409771,      -8.460576259,     0.01036302551,      0.8913084373,                 0,                 0,                 0,        0.12634545,    -0.02557063783,      0.8910018323,                 0,       86.00851525
          0,           0,          95,      -4.825295698,      -1.859850663,      -2.807790575,      0.6352900892,      -8.481381494,     0.01036415199,      0.8913490409,                 0,                 0,                 0,      0.1263547115,    -0.02557114884,      0.8910424484,                 0,       86.00308462
          0,           0,          96,      -4.842554924,      -1.876864194,       -2.82270424,      0.6180266296,      -8.506704123,     0.01036517919,      0.8913868393,                 0,                 0,                 0,      0.1263633754,    -0.02557164598,      0.8910802574,                 0,        85.9982083
          0,           0,          97,      -4.861938734,      -1.893884971,      -2.838193045,      0.5987642235,      -8.535502991,     0.01036614425,      0.8914223775,                 0,                 0,                 0,      0.1263716087,    -0.02557211411,      0.8911158056,                 0,        85.9936304
          0,           0,          98,      -4.883200039,       -1.91088189,      -2.854161974,      0.5777445826,      -8.566375591,     0.01036707456,      0.8914561491,                 0,                 0,                 0,      0.1263795388,    -0.02557254577,      0.8911495873,                 0,       85.98917123
          0,           0,          99,       -4.90583055,      -1.927811498,      -2.870459709,      0.5554567156,      -8.597752948,     0.01036798619,      0.8914885413,                 0,                 0,                 0,      0.1263872449,    -0.02557294049,      0.8911819899,                 0,       85.98473466
          0,           0,         100,      -4.929177206,      -1.944624781,      -2.886896362,      0.5325239871,      -8.628138996,     0.01036888491,      0.8915198096,                 0,                 0,                 0,       0.126394761,     -0.0255733028,      0.8912132691,                 0,       85.98029753
          0,           0,         101,      -4.952569194,      -1.961274683,      -2.903263863,      0.5095820339,      -8.656309007,     0.01036976791,      0.8915500841,                 0,                 0,                 0,      0.1264020837,    -0.02557364076,      0.8912435545,                 0,       85.97589564
          0,           0,         102,      -4.975418452,      -1.977721362,      -2.919362039,      0.4871836061,      -8.681566893,     0.01037062832,      0.8915793934,                 0,                 0,                 0,      0.1264091895,     -0.0255739624,      0.8912728746,                 0,       85.97158876
